Time,Channel A
(ms),(V)

90.23599977,-4.35194000
90.23799977,-4.32081100
90.23999977,-4.28907100
90.24199977,-4.33118700
90.24399977,-4.32081100
90.24599977,-4.27869500
90.24799977,-4.34156300
90.24999977,-4.34156300
90.25199977,-4.28907100
90.25399977,-4.34156300
90.25599977,-4.32081100
90.25799977,-4.29944800
90.25999977,-4.32081100
90.26199977,-4.34156300
90.26399977,-4.34156300
90.26599977,-4.30982400
90.26799977,-4.34156300
90.26999977,-4.29944800
90.27199977,-4.33118700
90.27399977,-4.33118700
90.27599977,-4.29944800
90.27799977,-4.33118700
90.27999977,-4.34156300
90.28199977,-4.26770800
90.28399977,-4.34156300
90.28599977,-4.33118700
90.28799977,-4.28907100
90.28999977,-4.33118700
90.29199977,-4.28907100
90.29399977,-4.29944800
90.29599977,-4.28907100
90.29799977,-4.33118700
90.29999977,-4.30982400
90.30199977,-4.32081100
90.30399977,-4.30982400
90.30599977,-4.28907100
90.30799977,-4.28907100
90.30999977,-4.29944800
90.31199977,-4.35194000
90.31399977,-4.32081100
90.31599977,-4.29944800
90.31799977,-4.36292600
90.31999977,-4.29944800
90.32199977,-4.32081100
90.32399977,-4.30982400
90.32599977,-4.28907100
90.32799977,-4.30982400
90.32999977,-4.30982400
90.33199977,-4.30982400
90.33399977,-4.32081100
90.33599977,-4.29944800
90.33799977,-4.32081100
90.33999977,-4.30982400
90.34199977,-4.30982400
90.34399977,-4.34156300
90.34599977,-4.32081100
90.34799977,-4.28907100
90.34999977,-4.30982400
90.35199977,-4.29944800
90.35399977,-4.29944800
90.35599977,-4.34156300
90.35799977,-4.32081100
90.35999977,-4.35194000
90.36199977,-4.28907100
90.36399977,-4.30982400
90.36599977,-4.32081100
90.36799977,-4.34156300
90.36999977,-4.30982400
90.37199977,-4.29944800
90.37399977,-4.26770800
90.37599977,-4.29944800
90.37799977,-4.30982400
90.37999977,-4.32081100
90.38199977,-4.34156300
90.38399977,-4.32081100
90.38599977,-4.29944800
90.38799977,-4.29944800
90.38999977,-4.26770800
90.39199977,-4.28907100
90.39399977,-4.34156300
90.39599977,-4.37330200
90.39799977,-4.32081100
90.39999977,-4.30982400
90.40199977,-4.33118700
90.40399977,-4.33118700
90.40599977,-4.33118700
90.40799977,-4.30982400
90.40999977,-4.29944800
90.41199977,-4.30982400
90.41399977,-4.33118700
90.41599977,-4.33118700
90.41799977,-4.33118700
90.41999977,-4.35194000
90.42199977,-4.32081100
90.42399977,-4.29944800
90.42599977,-4.29944800
90.42799977,-4.29944800
90.42999977,-4.30982400
90.43199977,-4.34156300
90.43399977,-4.33118700
